Hero Name, Appearances, Tweets, Favorited, Retweet
Lina,23,94,102,1316
Lion,22,35,7,4504
Shadow Shaman,14,3,0,0
Vengeful Spirit,14,7,1,0
Windranger,34,100,17,12
Zeus,31,26,1,0
Kunkka,26,26,5,0
Slardar,26,17,1,0
Tidehunter,18,10,3,0
Bloodseeker,46,77,0,0
Juggernaut,68,127,165,2695
Huskar,30,24,1,0
Enchantress,4,5,1,2
Dark Seer,5,3,1,0
Lifestealer,35,33,16,11
Omniknight,17,5,1,0
Clinkz,21,18,2,0
Clockwerk,14,10,2,2
Dazzle,16,7,0,0
Nature's Prophet,21,4,0,0
Leshrac,2,8,14,16
Nyx Assassin,27,7,73,40
Naga Siren,5,13,7,12
Oracle,6,7,4,0
Phoenix,13,67,3,2
Arc Warden,3,16,1,0
Winter Wyvern,7,2,0,0
Meepo,14,61,15,9
Treant Protector,10,9,0,8
Lone Druid,3,8,0,0
Chaos Knight,13,8,2,0
Rubick,22,52,112,25
Disruptor,13,4,0,0
Ogre Magi,30,7,0,0
Undying,7,5,0,0
Bane,13,7,0,0
Earthshaker,27,26,3,1
Underlord,9,8,2,0
Terrorblade,11,22,4,0
Abaddon,10,5,1,2
Elder Titan,10,4,0,0
Tusk,10,8,0,0
Skywrath Mage,12,8,1,0
Ember Spirit,16,33,2,0
Earth Spirit,7,15,0,1
Legion Commander,52,39,6,0
Techies,8,84,26,13
Queen of Pain,14,23,30,274
Beastmaster,5,6,1,1
Enigma,11,27,11,0
Riki,52,37,31,58
Lich,9,10,1,0
Witch Doctor,13,16,3,2
Warlock,15,11,4,2
Necrophos,28,4,0,0
Sniper,67,60,7,2
Tinker,30,35,4,0
Night Stalker,11,5,0,0
Broodmother,4,22,10,26
Bounty Hunter,20,29,20,11
Weaver,22,14,1,0
Jakiro,13,8,2,0
Batrider,11,9,3,0
Chen,0,6,1,0
Spectre,23,20,3,31
Ancient Apparition,13,16,2,2
Doom,7,8,0,0
Axe,51,30,0,375
Drow Ranger,55,33,4,0
Bristleback,21,15,5,20
Timbersaw,36,38,7,0
Io,6,298,53,58001
Keeper of the Light,6,6,0,0
Slark,62,53,6,0
Visage,0,8,0,0
Troll Warlord,17,17,1,0
Medusa,17,13,0,2
Magnus,21,54,3,0
Centaur Warrunner,21,6,0,0
Shadow Fiend,43,46,5,0
Morphling,30,52,17,4
Puck,5,16,10,0
Phantom Lancer,13,16,4,2
Razor,16,9,0,0
Pudge,76,186,201,2719
Storm Spirit,32,26,106,25
Sand King,34,12,0,0
Tiny,32,20,2,1
Sven,32,69,28,58
Luna,35,42,20,25
Dragon Knight,21,12,0,0
Templar Assassin,17,39,30,20
Viper,18,15,8,2
Phantom Assassin,84,44,4,2
Pugna,8,18,9,36
Wraith King,29,25,11,43
Death Prophet,7,1,1,0
Venomancer,14,21,4,2
Faceless Void,35,15,4,0
Anti-Mage,55,67,4,0
Crystal Maiden,39,32,80,118
Mirana,42,99,18,15
Lycan,6,9,0,0
Outworld Devourer,27,32,30,56
Silencer,22,8,8,9
Invoker,61,176,10,624
Alchemist,40,58,8,3
Gyrocopter,5,6,2,2
Spirit Breaker,31,17,11,22
Ursa,29,43,4,1
Shadow Demon,12,10,8,16
Brewmaster,3,2,0,2
